NAME OF DATA ELEMENT,dev-category,developer-friendly name,API data type,VARIABLE NAME,VALUE,LABEL,SOURCE,NOTES
"The number of students in the median debt low-income (less than or equal to $30,000 in nominal family income) students cohort",aid,median_debt.number.income.0_30000,integer,LO_INC_DEBT_N,,,NSLDS,
"The number of students in the median debt middle-income (between $30,000 and $75,000 in nominal family income) students cohort",aid,median_debt.number.income.30001_75000,integer,MD_INC_DEBT_N,,,NSLDS,
"The number of students in the median debt high-income (above $75,000 in nominal family income) students cohort",aid,median_debt.number.income.greater_than_75000,integer,HI_INC_DEBT_N,,,NSLDS,
The number of students in the median debt dependent students cohort,aid,median_debt.number.dependent_students,integer,DEP_DEBT_N,,,NSLDS,
The number of students in the median debt independent students cohort,aid,median_debt.number.independent_students,integer,IND_DEBT_N,,,NSLDS,
The number of students in the median debt Pell students cohort,aid,median_debt.number.pell_grant,integer,PELL_DEBT_N,,,NSLDS,
The number of students in the median debt no-Pell students cohort,aid,median_debt.number.no_pell_grant,integer,NOPELL_DEBT_N,,,NSLDS,
The number of students in the median debt female students cohort,aid,median_debt.number.female_students,integer,FEMALE_DEBT_N,,,NSLDS,
The number of students in the median debt male students cohort,aid,median_debt.number.male_students,integer,MALE_DEBT_N,,,NSLDS,
The number of students in the median debt first-generation students cohort,aid,median_debt.number.first_generation_students,integer,FIRSTGEN_DEBT_N,,,NSLDS,
The number of students in the median debt not-first-generation students cohort,aid,median_debt.number.non_first_generation_students,integer,NOTFIRSTGEN_DEBT_N,,,NSLDS,
Median loan debt of completers in monthly payments (10-year amortization plan),aid,median_debt.completers.monthly_payments,float,GRAD_DEBT_MDN10YR,,,NSLDS,
Number of students in the cumulative loan debt cohort,aid,cumulative_debt.number,integer,CUML_DEBT_N,,,NSLDS,
Cumulative loan debt at the 90th percentile,aid,cumulative_debt.90th_percentile,integer,CUML_DEBT_P90,,,NSLDS,
Cumulative loan debt at the 75th percentile,aid,cumulative_debt.75th_percentile,integer,CUML_DEBT_P75,,,NSLDS,
Cumulative loan debt at the 25th percentile,aid,cumulative_debt.25th_percentile,integer,CUML_DEBT_P25,,,NSLDS,
Cumulative loan debt at the 10th percentile,aid,cumulative_debt.10th_percentile,integer,CUML_DEBT_P10,,,NSLDS,
Number of students in the family income cohort,student,family_income.overall,integer,INC_N,,,NSLDS,
Number of students in the family income dependent students cohort,student,family_income.dependent_students,integer,DEP_INC_N,,,NSLDS,
Number of students in the family income independent students cohort,student,family_income.independent_students,integer,IND_INC_N,,,NSLDS,
Number of students in the disaggregation with valid dependency status,student,valid_dependency_status,integer,DEP_STAT_N,,,NSLDS,
Number of students in the parents' education level cohort,student,parents_education_level,integer,PAR_ED_N,,,NSLDS,
Number of students in the FAFSA applications cohort,student,FAFSA_applications,integer,APPL_SCH_N,,,NSLDS,
Share of students who received a federal loan while in school,aid,students_with_any_loan,float,LOAN_EVER,,,NSLDS,Data element describes the earnings cohort
Share of students who received a Pell Grant while in school,student,students_with_pell_grant,float,PELL_EVER,,,NSLDS,Data element describes the earnings cohort
Average family income in real 2015 dollars,student,demographics.avg_family_income,integer,FAMINC,,,NSLDS,Data element describes the earnings cohort
Median family income in real 2015 dollars,student,demographics.median_family_income,integer,MD_FAMINC,,,NSLDS,Data element describes the earnings cohort
Average family income for independent students in real 2015 dollars,student,demographics.avg_family_income_independents,integer,FAMINC_IND,,,NSLDS,Data element describes the earnings cohort
Average of the log of family income,student,demographics.avg_family_income_log,integer,LNFAMINC,,,Treasury,Data element describes the earnings cohort
Average of the log of family income for independent students,student,demographics.avg_family_income_independents_log,integer,LNFAMINC_IND,,,Treasury,Data element describes the earnings cohort
"Percent of the population from students' zip codes that is White, via Census data",student,demographics.share_white.home_ZIP,float,PCT_WHITE,,,Treasury,Data element describes the earnings cohort
"Percent of the population from students' zip codes that is Black, via Census data",student,demographics.share_black.home_ZIP,float,PCT_BLACK,,,Treasury,Data element describes the earnings cohort
"Percent of the population from students' zip codes that is Asian, via Census data",student,demographics.share_asian.home_ZIP,float,PCT_ASIAN,,,Treasury,Data element describes the earnings cohort
"Percent of the population from students' zip codes that is Hispanic, via Census data",student,demographics.share_hispanic.home_ZIP,float,PCT_HISPANIC,,,Treasury,Data element describes the earnings cohort
"Percent of the population from students' zip codes with a bachelor's degree over the age 25, via Census data",student,demographics.share_bachelors_degree_age25.home_ZIP,float,PCT_BA,,,Treasury,Data element describes the earnings cohort
"Percent of the population from students' zip codes over 25 with a professional degree, via Census data",student,demographics.share_professional_degree_age25.home_ZIP,float,PCT_GRAD_PROF,,,Treasury,Data element describes the earnings cohort
"Percent of the population from students' zip codes that was born in the US, via Census data",student,demographics.share_born_US.home_ZIP,float,PCT_BORN_US,,,Treasury,Data element describes the earnings cohort
Median household income,student,demographics.median_hh_income,integer,MEDIAN_HH_INC,,,Treasury,Data element describes the earnings cohort
"Poverty rate, via Census data",student,demographics.poverty_rate,float,POVERTY_RATE,,,Treasury,Data element describes the earnings cohort
"Unemployment rate, via Census data",student,demographics.unemployment,float,UNEMP_RATE,,,Treasury,Data element describes the earnings cohort
Log of the median household income,student,demographics.median_hh_income_log,integer,LN_MEDIAN_HH_INC,,,Treasury,Data element describes the earnings cohort
Average number of students who sent their FAFSA reports to at least one college,student,fafsa_sent.overall,integer,FSEND_COUNT,,,Treasury,Data element describes the earnings cohort
Share of students who submitted FAFSAs to only one college,student,fafsa_sent.1_college,float,FSEND_1,,,Treasury,Data element describes the earnings cohort
Share of students who submitted FAFSAs to two colleges,student,fafsa_sent.2_colleges,float,FSEND_2,,,Treasury,Data element describes the earnings cohort
Share of students who submitted FAFSAs to three colleges,student,fafsa_sent.3_college,float,FSEND_3,,,Treasury,Data element describes the earnings cohort
Share of students who submitted FAFSAs to four colleges,student,fafsa_sent.4_colleges,float,FSEND_4,,,Treasury,Data element describes the earnings cohort
Share of students who submitted FAFSAs to at least five colleges,student,fafsa_sent.5_or_more_colleges,float,FSEND_5,,,Treasury,Data element describes the earnings cohort
Mean earnings of students working and not enrolled 10 years after entry,earnings,10_yrs_after_entry.working_not_enrolled.mean_earnings,integer,MN_EARN_WNE_P10,,,Treasury,
Median earnings of students working and not enrolled 10 years after entry,earnings,10_yrs_after_entry.median,integer,MD_EARN_WNE_P10,,,Treasury,
10th percentile of earnings of students working and not enrolled 10 years after entry,earnings,10_yrs_after_entry.working_not_enrolled.earnings_percentile.10,integer,PCT10_EARN_WNE_P10,,,Treasury,
25th percentile of earnings of students working and not enrolled 10 years after entry,earnings,10_yrs_after_entry.working_not_enrolled.earnings_percentile.25,integer,PCT25_EARN_WNE_P10,,,Treasury,
75th percentile of earnings of students working and not enrolled 10 years after entry,earnings,10_yrs_after_entry.working_not_enrolled.earnings_percentile.75,integer,PCT75_EARN_WNE_P10,,,Treasury,
90th percentile of earnings of students working and not enrolled 10 years after entry,earnings,10_yrs_after_entry.working_not_enrolled.earnings_percentile.90,integer,PCT90_EARN_WNE_P10,,,Treasury,
Standard deviation of earnings of students working and not enrolled 10 years after entry,earnings,10_yrs_after_entry.working_not_enrolled.std_dev,integer,SD_EARN_WNE_P10,,,Treasury,
Number of female students working and not enrolled 10 years after entry,earnings,10_yrs_after_entry.female_students,integer,COUNT_WNE_MALE0_P10,,,Treasury,
Number of male students working and not enrolled 10 years after entry,earnings,10_yrs_after_entry.male_students,integer,COUNT_WNE_MALE1_P10,,,Treasury,
"Share of students earning over $25,000/year (threshold earnings) 10 years after entry",earnings,10_yrs_after_entry.percent_greater_than_25000,float,GT_25K_P10,,,Treasury,
"Mean earnings of students working and not enrolled 10 years after entry in the lowest income tercile $0-$30,000",earnings,10_yrs_after_entry.mean_earnings.lowest_tercile,integer,MN_EARN_WNE_INC1_P10,,,Treasury,
"Mean earnings of students working and not enrolled 10 years after entry in the middle income tercile $30,001-$75,000",earnings,10_yrs_after_entry.mean_earnings.middle_tercile,integer,MN_EARN_WNE_INC2_P10,,,Treasury,
"Mean earnings of students working and not enrolled 10 years after entry in the highest income tercile $75,001+ ",earnings,10_yrs_after_entry.mean_earnings.highest_tercile,integer,MN_EARN_WNE_INC3_P10,,,Treasury,
"Mean earnings of dependent students working and not enrolled 10 years after entry in the lowest income tercile $0-$30,000",earnings,10_yrs_after_entry.mean_earnings.dependent_students_lowest_tercile,integer,MN_EARN_WNE_INDEP0_INC1_P10,,,Treasury,
Number of students not working and not enrolled 6 years after entry,earnings,6_yrs_after_entry.not_working_not_enrolled.overall,integer,COUNT_NWNE_P6,,,Treasury,
Number of students working and not enrolled 6 years after entry,earnings,6_yrs_after_entry.working_not_enrolled.overall,integer,COUNT_WNE_P6,,,Treasury,
Mean earnings of students working and not enrolled 6 years after entry,earnings,6_yrs_after_entry.working_not_enrolled.mean_earnings,integer,MN_EARN_WNE_P6,,,Treasury,
Median earnings of students working and not enrolled 6 years after entry,earnings,6_yrs_after_entry.median,integer,MD_EARN_WNE_P6,,,Treasury,
10th percentile of earnings of students working and not enrolled 6 years after entry,earnings,6_yrs_after_entry.working_not_enrolled.earnings_percentile.10,integer,PCT10_EARN_WNE_P6,,,Treasury,
25th percentile of earnings of students working and not enrolled 6 years after entry,earnings,6_yrs_after_entry.working_not_enrolled.earnings_percentile.25,integer,PCT25_EARN_WNE_P6,,,Treasury,
75th percentile of earnings of students working and not enrolled 6 years after entry,earnings,6_yrs_after_entry.working_not_enrolled.earnings_percentile.75,integer,PCT75_EARN_WNE_P6,,,Treasury,
90th percentile of earnings of students working and not enrolled 6 years after entry,earnings,6_yrs_after_entry.working_not_enrolled.earnings_percentile.90,integer,PCT90_EARN_WNE_P6,,,Treasury,
Standard deviation of earnings of students working and not enrolled 6 years after entry,earnings,6_yrs_after_entry.working_not_enrolled.std_dev,integer,SD_EARN_WNE_P6,,,Treasury,
"Number of students working and not enrolled 6 years after entry in the lowest income tercile $0-$30,000",earnings,6_yrs_after_entry.working_not_enrolled.income.lowest_tercile,integer,COUNT_WNE_INC1_P6,,,Treasury,
"Number of students working and not enrolled 6 years after entry in the middle income tercile $30,001-$75,000",earnings,6_yrs_after_entry.working_not_enrolled.income.middle_tercile,integer,COUNT_WNE_INC2_P6,,,Treasury,
"Number of students working and not enrolled 6 years after entry in the highest income tercile $75,001+ ",earnings,6_yrs_after_entry.working_not_enrolled.income.highest_tercile,integer,COUNT_WNE_INC3_P6,,,Treasury,
Number of female students working and not enrolled 6 years after entry,earnings,6_yrs_after_entry.female_students,integer,COUNT_WNE_MALE0_P6,,,Treasury,
Number of male students working and not enrolled 6 years after entry,earnings,6_yrs_after_entry.male_students,integer,COUNT_WNE_MALE1_P6,,,Treasury,
"Share of students earning over $25,000/year (threshold earnings) 6 years after entry",earnings,6_yrs_after_entry.percent_greater_than_25000,float,GT_25K_P6,,,Treasury,
"Mean earnings of students working and not enrolled 6 years after entry in the lowest income tercile $0-$30,000",earnings,6_yrs_after_entry.mean_earnings.lowest_tercile,float,MN_EARN_WNE_INC1_P6,,,Treasury,
"Mean earnings of students working and not enrolled 6 years after entry in the middle income tercile $30,001-$75,000",earnings,6_yrs_after_entry.mean_earnings.middle_tercile,float,MN_EARN_WNE_INC2_P6,,,Treasury,
"Mean earnings of students working and not enrolled 6 years after entry in the highest income tercile $75,001+ ",earnings,6_yrs_after_entry.mean_earnings.highest_tercile,float,MN_EARN_WNE_INC3_P6,,,Treasury,
"Mean earnings of dependent students working and not enrolled 6 years after entry in the lowest income tercile $0-$30,000",earnings,6_yrs_after_entry.mean_earnings.dependent_students_lowest_tercile,float,MN_EARN_WNE_INDEP0_INC1_P6,,,Treasury,
Mean earnings of dependent students working and not enrolled 6 years after entry,earnings,6_yrs_after_entry.mean_earnings.dependent_students,float,MN_EARN_WNE_INDEP0_P6,,,Treasury,
Mean earnings of independent students working and not enrolled 6 years after entry,earnings,6_yrs_after_entry.mean_earnings.independent_students,float,MN_EARN_WNE_INDEP1_P6,,,Treasury,
Mean earnings of female students working and not enrolled 6 years after entry,earnings,6_yrs_after_entry.mean_earnings.female_students,float,MN_EARN_WNE_MALE0_P6,,,Treasury,
Mean earnings of male students working and not enrolled 6 years after entry,earnings,6_yrs_after_entry.mean_earnings.male_students,float,MN_EARN_WNE_MALE1_P6,,,Treasury,
"Median debt, suppressed for n=30",aid,median_debt_suppressed.overall,float,DEBT_MDN_SUPP,,,NSLDS,
"Median debt of completers, suppressed for n=30",aid,median_debt_suppressed.completers.overall,float,GRAD_DEBT_MDN_SUPP,,,NSLDS,
"Median debt of completers expressed in 10-year monthly payments, suppressed for n=30",aid,median_debt_suppressed.completers.monthly_payments,float,GRAD_DEBT_MDN10YR_SUPP,,,NSLDS,
"3-year repayment rate, suppressed for n=30",repayment,3_yr_repayment_suppressed.overall,float,RPY_3YR_RT_SUPP,,,NSLDS,
"3-year repayment rate for low-income (less than $30,000 in nominal family income) students, suppressed for n=30",repayment,3_yr_repayment_suppressed.income.low_income,float,LO_INC_RPY_3YR_RT_SUPP,,,NSLDS,
"3-year repayment rate for middle-income (between $30,000 and $75,000 in nominal family income) students, suppressed for n=30",repayment,3_yr_repayment_suppressed.income.middle_income,float,MD_INC_RPY_3YR_RT_SUPP,,,NSLDS,
"3-year repayment rate for high-income (above $75,000 in nominal family income) students, suppressed for n=30",repayment,3_yr_repayment_suppressed.income.high_income,float,HI_INC_RPY_3YR_RT_SUPP,,,NSLDS,
"3-year repayment rate for completers, suppressed for n=30",repayment,3_yr_repayment_suppressed.completers,float,COMPL_RPY_3YR_RT_SUPP,,,NSLDS,
"3-year repayment rate for non-completers, suppressed for n=30",repayment,3_yr_repayment_suppressed.non_completers,float,NONCOM_RPY_3YR_RT_SUPP,,,NSLDS,
"3-year repayment rate for dependent students, suppressed for n=30",repayment,3_yr_repayment_suppressed.dependent_students,float,DEP_RPY_3YR_RT_SUPP,,,NSLDS,
"3-year repayment rate for independent students, suppressed for n=30",repayment,3_yr_repayment_suppressed.independent_students,float,IND_RPY_3YR_RT_SUPP,,,NSLDS,
"3-year repayment rate for Pell students, suppressed for n=30",repayment,3_yr_repayment_suppressed.pell_grant,float,PELL_RPY_3YR_RT_SUPP,,,NSLDS,
"3-year repayment rate for no-Pell students, suppressed for n=30",repayment,3_yr_repayment_suppressed.no_pell_grant,float,NOPELL_RPY_3YR_RT_SUPP,,,NSLDS,
"3-year repayment rate for female students, suppressed for n=30",repayment,3_yr_repayment_suppressed.female_students,float,FEMALE_RPY_3YR_RT_SUPP,,,NSLDS,
"3-year repayment rate for male students, suppressed for n=30",repayment,3_yr_repayment_suppressed.male_students,float,MALE_RPY_3YR_RT_SUPP,,,NSLDS,
"3-year repayment rate for first-generation students, suppressed for n=30",repayment,3_yr_repayment_suppressed.first_generation_students,float,FIRSTGEN_RPY_3YR_RT_SUPP,,,NSLDS,
"3-year repayment rate for non-first-generation students, suppressed for n=30",repayment,3_yr_repayment_suppressed.non_first_generation_students,float,NOTFIRSTGEN_RPY_3YR_RT_SUPP,,,NSLDS,
Number of students in the cohort for the two-year cohort default rate,repayment,2_yr_default_rate_denom,integer,CDR2_DENOM,,,FSA,
Number of students in the cohort for the three-year cohort default rate,repayment,3_yr_default_rate_denom,integer,CDR3_DENOM,,,FSA,
